id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4964614,Historic Capitol Hill Mansion,25591329,Linda,,Capitol Hill,39.73377,-104.9807,Private room,119,2,286,2024-06-08,2.53,1,324,30,2017-BFN-0000290
5010213,Downtown Denver Union Station LoDo Loft Retreat,4252297,Andrea,,Union Station,39.75351,-105.0037,Entire home/apt,122,29,153,2023-12-17,1.35,1,139,1,
5184333,2 bedroom 2 baths  Mt Views sleeps 4,10751081,Beatrice (Bia),,Capitol Hill,39.73579,-104.98047,Entire home/apt,99,60,14,2022-08-13,0.13,2,318,0,
5364164,*Monthly Rental* 1-Bedroom 1-Bathroom Condo,27807630,Kyle,,Washington Virginia Vale,39.69713,-104.92667,Entire home/apt,104,29,3,2024-05-31,0.98,1,257,3,
5379218,Large  Queen size Bedroom Denver DTC  I-25 / I-225,5852906,Dr. Faye,,Hampden South,39.64721,-104.8867,Private room,57,29,37,2024-05-30,0.38,2,329,1,2018-BFN-0008538
5414477,Bright Cap Hill Apt w/parking and free laundry.,28067552,Matt,,Capitol Hill,39.73679,-104.97994,Entire home/apt,,95,46,2024-03-17,0.41,1,1,2,
5508545,"Cozy 1BD-parking, yard, laundry",5124037,Darja,,Montclair,39.73839,-104.91961,Entire home/apt,115,29,257,2023-01-09,2.30,3,288,0,2017-BFN-0000201
5531293,The Garden Suite,5811115,Annette,,Berkeley,39.78164,-105.038,Entire home/apt,91,30,31,2023-05-14,0.28,5,333,0,
5536068,"Downtown Denver Great Price, Best Location",28706795,Bryan,,CBD,39.74815,-104.99489,Entire home/apt,65,30,15,2024-05-08,0.13,1,212,4,
5558992,Cozy Carriage Home Sante Fe Style!,26125748,Edwin,,Lincoln Park,39.72979,-104.99557,Entire home/apt,,29,160,2024-05-31,1.66,1,49,2,2019-BFN-0001582
